"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"474","DET","DET @ CHI",2021-10-23,"L",240,82,34,88,38.6,5,28,17.9,9,15,60,11,42,53,14,9,8,23,17,-15,"A"
"475","DAL","DAL @ TOR",2021-10-23,"W",240,103,38,91,41.8,14,42,33.3,13,18,72.2,13,37,50,24,6,6,9,22,8,"A"
"476","TOR","TOR vs. DAL",2021-10-23,"L",240,95,34,85,40,11,37,29.7,16,23,69.6,11,38,49,17,7,6,12,23,-8,"H"
"477","IND","IND vs. MIA",2021-10-23,"W",265,102,38,97,39.2,10,39,25.6,16,21,76.2,14,41,55,18,10,5,16,18,11,"H"
"478","MIA","MIA @ IND",2021-10-23,"L",265,91,35,91,38.5,9,33,27.3,12,14,85.7,10,45,55,18,4,2,22,25,-11,"A"
"479","CLE","CLE vs. ATL",2021-10-23,"W",240,101,37,89,41.6,7,28,25,20,27,74.1,12,42,54,23,6,6,10,16,6,"H"
"480","ATL","ATL @ CLE",2021-10-23,"L",240,95,38,99,38.4,10,34,29.4,9,15,60,17,37,54,20,5,3,9,23,-6,"A"
"481","SAC","SAC vs. UTA",2021-10-22,"L",240,101,39,99,39.4,8,36,22.2,15,21,71.4,16,36,52,20,15,5,15,22,-9,"H"
"482","UTA","UTA @ SAC",2021-10-22,"W",240,110,37,90,41.1,16,42,38.1,20,23,87,13,38,51,16,14,3,19,17,9,"A"
"483","PHX","PHX @ LAL",2021-10-22,"W",240,115,42,86,48.8,10,32,31.3,21,28,75,7,40,47,31,8,2,12,22,10,"A"
"484","LAL","LAL vs. PHX",2021-10-22,"L",240,105,34,86,39.5,15,34,44.1,22,29,75.9,12,34,46,25,7,3,16,26,-10,"H"
"485","SAS","SAS @ DEN",2021-10-22,"L",240,96,40,84,47.6,6,24,25,10,14,71.4,7,32,39,24,11,2,20,17,-6,"A"
